名前,英語名前,全国図鑑番号,ガラル図鑑番号,特性,タイプ,身長,体重,技
フシギダネ,Bulbasaur,1,-1,しんりょく/ようりょくそ,くさ/どく,0.7m,6.9kg,あまいかおり/あまえる/いあいぎり/いかり/いとをはく/いばる/いびき/いわくだき/おんがえし/かいりき/かげぶんしん/かまいたち/からげんき/がまん/くさのちかい/くさぶえ/くさむすび/こうごうせい/こらえる/しぜんのちから/しぜんのめぐみ/しめつける/しんぴのまもり/すてみタックル/ずつき/せいちょう/たいあたり/つるぎのまい/つるのムチ/てだすけ/とおせんぼう/とっしん/どくどく/どくのこな/どろかけ/ないしょばなし/なきごえ/なやみのタネ/にほんばれ/ねごと/ねむりごな/ねむる/ねをはる/のしかかり/のろい/はたきおとす/はっぱカッター/はなびらのまい/ひかりのかべ/ひみつのちから/ふるいたてる/まもる/まるくなる/みがわり/みねうち/めざめるパワー/ものまね/やつあたり/やどりぎのタネ/ゆうわく/りんしょう/れんぞくぎり/ウェザーボール/エコーボイス/エナジーボール/ギガドレイン/グラスフィールド/ソーラービーム/タネばくだん/タネマシンガン/ドわすれ/ハードプラント/パワーウィップ/フラッシュ/ヘドロこうげき/ヘドロばくだん/ベノムショック/マジカルリーフ/メガドレイン/メロメロ/リフレクター/リーフストーム/ロケットずつき
キャタピー,Caterpie,10,13,りんぷん/にげあし,むし,0.3m,2.9kg,いとをはく/いびき/たいあたり/むしくい/エレキネット
ビリリダマ,Voltorb,100,-1,ぼうおん/せいでんき/ゆうばく,むし,0.5m,10.4kg,10まんボルト/あまごい/いかり/いちゃもん/いばる/いびき/いやなおと/おんがえし/かいでんぱ/かげぶんしん/かみなり/からげんき/がまん/こらえる/ころがる/しぜんのめぐみ/じばく/じゅうでん/ずつき/たいあたり/だいばくはつ/ちょうはつ/でんげきは/でんじは/でんじふゆう/でんじほう/とっしん/どくどく/どろぼう/ないしょばなし/ねごと/ねむる/のろい/ひかりのかべ/ひみつのちから/ふいうち/ほうでん/まもる/みがわり/めざめるパワー/ものまね/やつあたり/りんしょう/イカサマ/エレキボール/シグナルビーム/ジャイロボール/スパーク/スピードスター/ソニックブーム/チャージビーム/テレポート/フラッシュ/ボルトチェンジ/マジックコート/ミラーコート/リフレクター/リフレッシュ/ワイルドボルト
マルマイン,Electrode,101,-1,ぼうおん/せいでんき/ゆうばく,むし,1.2m,66.6kg,10まんボルト/あまごい/いかり/いちゃもん/いばる/いびき/いやなおと/おんがえし/かいでんぱ/かげぶんしん/かみなり/からげんき/がまん/こらえる/ころがる/しぜんのめぐみ/じばく/じばそうさ/じゅうでん/ずつき/たいあたり/だいばくはつ/ちょうはつ/でんげきは/でんじは/でんじふゆう/でんじほう/とっしん/どくどく/どろぼう/ないしょばなし/ねごと/ねむる/のろい/はかいこうせん/ひかりのかべ/ひみつのちから/ふいうち/ほうでん/まもる/みがわり/めざめるパワー/ものまね/やつあたり/りんしょう/イカサマ/エレキボール/ギガインパクト/シグナルビーム/ジャイロボール/スパーク/スピードスター/ソニックブーム/チャージビーム/テレキネシス/テレポート/フラッシュ/ボルトチェンジ/マジックコート/ミラーコート/リフレクター/リフレッシュ/ロケットずつき/ワイルドボルト
タマタマ,Exeggcute,102,-1,ようりょくそ/しゅうかく,くさ/エスパー,0.4m,2.5kg,あくむ/あまいかおり/いかり/いばる/いびき/おまじない/おんがえし/かいりき/かげぶんしん/からげんき/がまん/くさむすび/げんしのちから/こうごうせい/こらえる/ころがる/さいみんじゅつ/さわぐ/しぜんのちから/しぜんのめぐみ/しびれごな/じこあんじ/じばく/じゅうりょく/じんつうりき/すてみタックル/たまなげ/だいばくはつ/つきのひかり/つるぎのまい/とおせんぼう/とっしん/どくどく/どくのこな/どろぼう/ないしょばなし/なやみのタネ/にほんばれ/ねがいごと/ねごと/ねむりごな/ねむる/ねをはる/ねんりき/のろい/ひかりのかべ/ひみつのちから/まとわりつく/まもる/みがわり/めざめるパワー/ものまね/やつあたり/やどりぎのタネ/ゆうわく/ゆめくい/りんしょう/エナジーボール/ギガドレイン/ギフトパス/グラスフィールド/サイコウェーブ/サイコキネシス/スキルスワップ/ソーラービーム/タネばくだん/タネマシンガン/タマゴばくだん/テレキネシス/テレポート/トリックルーム/パワースワップ/フラッシュ/ヘドロばくだん/メガドレイン/メロメロ/リフレクター/リーフストーム
ナッシー,Exeggutor,103,-1,ようりょくそ/しゅうかく,くさ/エスパー,2.0m,120.0kg,あくむ/あまいかおり/いかり/いばる/いびき/おまじない/おんがえし/かいりき/かげぶんしん/からげんき/がまん/くさむすび/けたぐり/げんしのちから/こうごうせい/こらえる/ころがる/さいみんじゅつ/さわぐ/しぜんのちから/しぜんのめぐみ/しねんのずつき/しびれごな/じこあんじ/じだんだ/じばく/じゅうりょく/じんつうりき/すてみタックル/ずつき/たまなげ/だいばくはつ/つきのひかり/つるぎのまい/とおせんぼう/とっしん/どくどく/どくのこな/どろぼう/ないしょばなし/なやみのタネ/にほんばれ/ねがいごと/ねごと/ねむりごな/ねむる/ねをはる/ねんりき/のろい/はかいこうせん/ひかりのかべ/ひみつのちから/ふみつけ/まとわりつく/まもる/みがわり/めざめるパワー/ものまね/やつあたり/やどりぎのタネ/ゆうわく/ゆめくい/りんしょう/ウッドハンマー/エナジーボール/ギガインパクト/ギガドレイン/ギフトパス/グラスフィールド/サイコウェーブ/サイコキネシス/サイコショック/スキルスワップ/ソーラービーム/タネばくだん/タネマシンガン/タマゴばくだん/テレキネシス/テレポート/トリックルーム/パワースワップ/フラッシュ/ヘドロばくだん/メガドレイン/メロメロ/リフレクター/リフレッシュ/リーフストーム
カラカラ,Cubone,104,-1,いしあたま/ひらいしん/カブトアーマー,じめん,0.4m,6.5kg,あなをほる/あばれる/いかり/いばる/いびき/いやなおと/いわくだき/いわなだれ/うちおとす/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かたきうち/かみなりパンチ/からげんき/かわらわり/がまん/がむしゃら/がんせきふうじ/きあいだめ/きあいパンチ/けたぐり/げんしのちから/こごえるかぜ/こらえる/さわぐ/しぜんのめぐみ/しっぽをふる/じごくぐるま/じしん/じだんだ/じならし/じわれ/すてみタックル/すなあらし/ずつき/だいちのちから/だいもんじ/ちきゅうなげ/つばめがえし/つるぎのまい/てっぺき/とっしん/どくどく/どろかけ/どろぼう/ないしょばなし/なきごえ/なげつける/なしくずし/にどげり/にほんばれ/にらみつける/ねごと/ねむる/のしかかり/のろい/はたきおとす/はらだいこ/ばくれつパンチ/ひみつのちから/ふぶき/ぶんまわす/ほのおのパンチ/ほろびのうた/まもる/みがわり/みきり/みずでっぽう/みねうち/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/りんしょう/れいとうビーム/れんぞくぎり/アイアンテール/アイアンヘッド/エコーボイス/カウンター/グロウパンチ/ステルスロック/バブルこうせん/ホネこんぼう/ホネブーメラン/ボーンラッシュ/メガトンキック/メガトンパンチ/メロメロ/ロケットずつき/ロッククライム
ガラガラ,Marowak,105,-1,いしあたま/ひらいしん/カブトアーマー,じめん,1.0m,45.0kg,あなをほる/あばれる/いかり/いばる/いびき/いやなおと/いわくだき/いわなだれ/うたう/うちおとす/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かたきうち/かみなりパンチ/からげんき/かわらわり/がまん/がむしゃら/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/けたぐり/げきりん/げんしのちから/こごえるかぜ/こらえる/さわぐ/しぜんのめぐみ/しっぽをふる/じごくぐるま/じごくづき/じしん/じだんだ/じならし/じわれ/すてみタックル/すなあらし/ずつき/だいちのちから/だいもんじ/ちきゅうなげ/つばめがえし/つるぎのまい/てっぺき/とぎすます/とっしん/どくどく/どろかけ/どろぼう/ないしょばなし/なきごえ/なげつける/なしくずし/にどげり/にほんばれ/にらみつける/ねごと/ねむる/のしかかり/のろい/はかいこうせん/はたきおとす/はらだいこ/ばくれつパンチ/ひみつのちから/ふぶき/ぶんまわす/ほのおのパンチ/ほろびのうた/まもる/みがわり/みきり/みずでっぽう/みねうち/めざめるパワー/ものまね/やきつくす/やつあたり/ゆうわく/りんしょう/れいとうビーム/れんぞくぎり/アイアンテール/アイアンヘッド/エコーボイス/カウンター/ギガインパクト/グロウパンチ/ステルスロック/ストーンエッジ/バブルこうせん/ホネこんぼう/ホネブーメラン/ボーンラッシュ/メガトンキック/メガトンパンチ/メロメロ/ロケットずつき/ロッククライム
サワムラー,Hitmonlee,106,108,じゅうなん/すてみ/かるわざ,かくとう,1.5m,49.8kg,あまごい/いかり/いばる/いびき/いわくだき/いわなだれ/おいうち/おんがえし/かいりき/かげぶんしん/かたきうち/からげんき/かわらわり/がまん/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/きしかいせい/けたぐり/こうそくスピン/こころのめ/こらえる/さわぐ/しぜんのめぐみ/しんくうは/じごくぐるま/じごくづき/じしん/じだんだ/じならし/すてみタックル/ずつき/たいあたり/ちきゅうなげ/てだすけ/とぎすます/とっしん/とびげり/とびはねる/とびひざげり/どくづき/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/なりきり/にどげり/にほんばれ/ねこだまし/ねごと/ねむる/のしかかり/のろい/はたきおとす/はどうだん/ばかぢから/ばくれつパンチ/ひみつのちから/ふいうち/ふるいたてる/ほしがる/まもる/まわしげり/みがわり/みきり/みやぶる/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆびをふる/りんしょう/インファイト/カウンター/グロウパンチ/ストーンエッジ/スピードスター/バレットパンチ/ビルドアップ/フェイント/ブレイズキック/マッハパンチ/メガトンキック/メガトンパンチ/メロメロ/ヨガのポーズ/リフレッシュ/リベンジ/ロケットずつき/ロッククライム/ローキック/ワイドガード
エビワラー,Hitmonchan,107,109,するどいめ/てつのこぶし/せいしんりょく,かくとう,1.4m,50.2kg,あまごい/いかり/いばる/いびき/いわくだき/いわなだれ/おいうち/おんがえし/かいりき/かげぶんしん/かたきうち/かみなりパンチ/からげんき/かわらわり/がまん/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/けたぐり/こうそくいどう/こうそくスピン/こころのめ/こらえる/さわぐ/しぜんのめぐみ/しんくうは/じごくぐるま/じごくづき/じしん/じならし/すてみタックル/ずつき/たいあたり/ちきゅうなげ/てだすけ/とぎすます/とっしん/とびひざげり/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/なりきり/にほんばれ/ねこだまし/ねごと/ねむる/のしかかり/のろい/はどうだん/ばくれつパンチ/ひみつのちから/ふるいたてる/ほしがる/ほのおのパンチ/まもる/みがわり/みきり/みやぶる/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆびをふる/りんしょう/れいとうパンチ/れんぞくパンチ/インファイト/カウンター/グロウパンチ/スカイアッパー/ストーンエッジ/スピードスター/ドレインパンチ/バレットパンチ/ビルドアップ/ファストガード/フェイント/マッハパンチ/メガトンキック/メガトンパンチ/メロメロ/リベンジ/ロケットずつき/ロッククライム/ローキック
